101
35	35	0	0.000	0	0
41	49	10	0.026	70	70
35	17	7	0.022	64	64
55	45	13	0.023	76	76
55	20	19	0.020	88	88
15	30	26	0.024	102	102
25	30	3	0.025	56	56
20	50	5	0.026	60	60
10	43	9	0.030	68	68
55	60	16	0.030	82	82
30	60	16	0.020	82	82
20	65	12	0.028	74	74
50	35	19	0.028	88	88
30	25	23	0.024	96	96
15	10	20	0.026	90	90
30	5	8	0.026	66	66
10	20	19	0.027	88	88
5	30	2	0.025	54	54
20	40	12	0.022	74	74
15	60	17	0.029	84	84
45	65	9	0.023	68	68
45	20	11	0.027	72	72
45	10	18	0.026	86	86
55	5	29	0.027	108	108
65	35	3	0.024	56	56
65	20	6	0.022	62	62
45	30	17	0.028	84	84
35	40	16	0.027	82	82
41	37	16	0.023	82	82
64	42	9	0.020	68	68
40	60	21	0.028	92	92
31	52	27	0.021	104	104
35	69	23	0.028	96	96
53	52	11	0.029	72	72
65	55	14	0.024	78	78
63	65	8	0.025	66	66
2	60	5	0.020	60	60
20	20	8	0.022	66	66
5	5	16	0.025	82	82
60	12	31	0.024	112	112
40	25	9	0.030	68	68
42	7	5	0.025	60	60
24	12	5	0.024	60	60
23	3	7	0.028	64	64
11	14	18	0.027	86	86
6	38	16	0.022	82	82
2	48	1	0.026	52	52
8	56	27	0.027	104	104
13	52	36	0.028	122	122
6	68	30	0.027	110	110
47	47	13	0.025	76	76
49	58	10	0.024	70	70
27	43	9	0.022	68	68
37	31	14	0.027	78	78
57	29	18	0.021	86	86
63	23	2	0.030	54	54
53	12	6	0.028	62	62
32	12	7	0.028	64	64
36	26	18	0.028	86	86
21	24	28	0.029	106	106
17	34	3	0.025	56	56
12	24	13	0.026	76	76
24	58	19	0.026	88	88
27	69	10	0.022	70	70
15	77	9	0.022	68	68
62	77	20	0.029	90	90
49	73	25	0.024	100	100
67	5	25	0.025	100	100
56	39	36	0.025	122	122
37	47	6	0.024	62	62
37	56	5	0.026	60	60
57	68	15	0.026	80	80
47	16	25	0.027	100	100
44	17	9	0.030	68	68
46	13	8	0.029	66	66
49	11	18	0.026	86	86
49	42	13	0.023	76	76
53	43	14	0.026	78	78
61	52	3	0.024	56	56
57	48	23	0.026	96	96
56	37	6	0.029	62	62
55	54	26	0.021	102	102
15	47	16	0.030	82	82
14	37	11	0.028	72	72
11	31	7	0.025	64	64
16	22	41	0.024	132	132
4	18	35	0.030	120	120
28	18	26	0.025	102	102
26	52	9	0.024	68	68
26	35	15	0.028	80	80
31	67	3	0.029	56	56
15	19	1	0.029	52	52
22	22	2	0.023	54	54
18	24	22	0.026	94	94
26	27	27	0.022	104	104
25	24	20	0.024	90	90
22	27	11	0.022	72	72
25	21	12	0.028	74	74
19	21	10	0.029	70	70
20	26	9	0.030	68	68
18	18	17	0.026	84	84
300
