26
40	50	0	0.000	0	0
25	85	20	0.021	90	90
22	75	30	0.020	110	110
22	85	10	0.021	70	70
20	80	40	0.029	130	130
20	85	20	0.028	90	90
18	75	20	0.025	90	90
15	75	20	0.027	90	90
15	80	10	0.027	70	70
10	35	20	0.026	90	90
10	40	30	0.023	110	110
8	40	40	0.027	130	130
8	45	20	0.023	90	90
5	35	10	0.026	70	70
5	45	10	0.025	70	70
2	40	20	0.020	90	90
25	30	3	0.026	56	56
20	50	5	0.023	60	60
55	60	16	0.023	82	82
30	60	16	0.022	82	82
50	35	19	0.022	88	88
30	25	23	0.027	96	96
15	10	20	0.024	90	90
10	20	19	0.028	88	88
15	60	17	0.029	84	84
45	65	9	0.028	68	68
741
