101
40	50	0	0.000	0	0
25	85	20	0.021	90	90
22	75	30	0.020	110	110
22	85	10	0.021	70	70
20	80	40	0.029	130	130
20	85	20	0.028	90	90
18	75	20	0.025	90	90
15	75	20	0.027	90	90
15	80	10	0.027	70	70
10	35	20	0.026	90	90
10	40	30	0.023	110	110
8	40	40	0.027	130	130
8	45	20	0.023	90	90
5	35	10	0.026	70	70
5	45	10	0.025	70	70
2	40	20	0.020	90	90
0	40	20	0.025	90	90
0	45	20	0.027	90	90
44	5	20	0.023	90	90
42	10	40	0.025	130	130
42	15	10	0.027	70	70
40	5	10	0.022	70	70
40	15	40	0.025	130	130
38	5	30	0.025	110	110
38	15	10	0.028	70	70
35	5	20	0.025	90	90
95	30	30	0.026	110	110
95	35	20	0.024	90	90
92	30	10	0.021	70	70
90	35	10	0.027	70	70
88	30	10	0.021	70	70
88	35	20	0.022	90	90
87	30	10	0.029	70	70
85	25	10	0.029	70	70
85	35	30	0.023	110	110
67	85	20	0.023	90	90
65	85	40	0.027	130	130
65	82	10	0.028	70	70
62	80	30	0.028	110	110
60	80	10	0.028	70	70
60	85	30	0.029	110	110
58	75	20	0.024	90	90
55	80	10	0.027	70	70
55	85	20	0.021	90	90
55	82	10	0.028	70	70
20	82	10	0.020	70	70
18	80	10	0.022	70	70
2	45	10	0.026	70	70
42	5	10	0.020	70	70
42	12	10	0.025	70	70
72	35	30	0.024	110	110
55	20	19	0.027	88	88
25	30	3	0.026	56	56
20	50	5	0.023	60	60
55	60	16	0.023	82	82
30	60	16	0.022	82	82
50	35	19	0.022	88	88
30	25	23	0.027	96	96
15	10	20	0.024	90	90
10	20	19	0.028	88	88
15	60	17	0.029	84	84
45	65	9	0.028	68	68
65	35	3	0.024	56	56
65	20	6	0.029	62	62
45	30	17	0.021	84	84
35	40	16	0.020	82	82
41	37	16	0.028	82	82
64	42	9	0.024	68	68
40	60	21	0.021	92	92
31	52	27	0.027	104	104
35	69	23	0.021	96	96
65	55	14	0.030	78	78
63	65	8	0.029	66	66
2	60	5	0.024	60	60
20	20	8	0.024	66	66
5	5	16	0.020	82	82
60	12	31	0.025	112	112
23	3	7	0.027	64	64
8	56	27	0.029	104	104
6	68	30	0.029	110	110
47	47	13	0.026	76	76
49	58	10	0.025	70	70
27	43	9	0.024	68	68
37	31	14	0.024	78	78
57	29	18	0.024	86	86
63	23	2	0.021	54	54
21	24	28	0.024	106	106
12	24	13	0.021	76	76
24	58	19	0.027	88	88
67	5	25	0.027	100	100
37	47	6	0.030	62	62
49	42	13	0.021	76	76
53	43	14	0.023	78	78
61	52	3	0.021	56	56
57	48	23	0.027	96	96
56	37	6	0.023	62	62
55	54	26	0.027	102	102
4	18	35	0.029	120	120
26	52	9	0.028	68	68
26	35	15	0.026	80	80
31	67	3	0.023	56	56
928
