51
40	50	0	0.000	0	0
45	68	10	0.027	70	70
45	70	30	0.030	110	110
42	66	10	0.028	70	70
42	68	10	0.028	70	70
42	65	10	0.023	70	70
40	69	20	0.023	90	90
40	66	20	0.026	90	90
38	68	20	0.023	90	90
38	70	10	0.025	70	70
35	66	10	0.020	70	70
35	69	10	0.023	70	70
25	85	20	0.022	90	90
22	75	30	0.022	110	110
22	85	10	0.021	70	70
20	80	40	0.023	130	130
20	85	40	0.021	130	130
18	75	20	0.030	90	90
15	75	20	0.027	90	90
15	80	10	0.026	70	70
30	50	10	0.030	70	70
30	52	20	0.020	90	90
28	52	20	0.021	90	90
28	55	10	0.029	70	70
25	50	10	0.026	70	70
25	52	40	0.024	130	130
25	55	10	0.024	70	70
23	52	10	0.028	70	70
23	55	20	0.028	90	90
20	50	10	0.027	70	70
20	55	10	0.021	70	70
10	35	20	0.022	90	90
10	40	30	0.027	110	110
8	40	40	0.026	130	130
8	45	20	0.023	90	90
5	35	10	0.020	70	70
5	45	10	0.023	70	70
2	40	20	0.028	90	90
0	40	30	0.025	110	110
0	45	20	0.022	90	90
35	30	10	0.027	70	70
35	32	10	0.028	70	70
33	32	20	0.028	90	90
33	35	10	0.029	70	70
32	30	10	0.025	70	70
30	30	10	0.026	70	70
30	32	30	0.022	110	110
30	35	10	0.020	70	70
28	30	10	0.028	70	70
28	35	10	0.022	70	70
26	32	10	0.028	70	70
385
